"Occupation","Annual_Income","Monthly_Inhand_Salary","Num_Bank_Accounts","Num_Credit_Card","Interest_Rate","Num_of_Loan","Delay_from_due_date","Num_of_Delayed_Payment","Changed_Credit_Limit","Num_Credit_Inquiries","Credit_Mix","Outstanding_Debt","Credit_Utilization_Ratio","Payment_of_Min_Amount","Credit_Score"
"0",52312.68,4250.39,6,5,17,4,8,18,9.73,2,"1",202.68,23.68,"1","1"
"0",52312.68,4250.39,6,5,17,4,8,16,9.73,2,"1",202.68,28.45,"1","1"
"0",52312.68,4250.39,6,5,17,4,8,18,9.73,2,"1",202.68,26.37,"1","1"
"0",52312.68,4250.39,6,5,17,4,10,18,9.73,2,"1",202.68,25,"1","1"
"0",52312.68,4250.39,6,5,17,4,8,19,9.73,4,"1",202.68,30.38,"1","1"
"0",52312.68,4250.39,6,5,17,4,3,18,9.73,4,"1",202.68,30.61,"1","1"
"0",52312.68,4250.39,6,5,17,4,8,18,9.73,4,"1",202.68,33.94,"1","1"
"0",52312.68,4250.39,6,5,17,4,5,18,9.73,4,"1",202.68,40.29,"1","1"
"2",58918.47,5208.87,3,3,17,3,27,12,14.42,7,"1",473.14,27.51,"1","1"
"2",58918.47,5208.87,3,3,17,3,27,15,14.42,7,"1",473.14,26.17,"1","1"
"2",58918.47,5208.87,3,3,17,3,27,17,13.42,7,"1",473.14,28.05,"1","1"
"2",58918.47,5208.87,3,3,17,3,29,15,13.42,7,"1",473.14,28.48,"1","1"
"2",58918.47,5208.87,3,3,17,3,27,13,14.42,7,"1",473.14,27.83,"1","1"
"0",98620.98,7962.42,3,3,6,3,12,9,1.33,3,"2",1233.51,41.92,"0","1"
"0",98620.98,7962.42,3,3,6,3,12,9,4.33,3,"2",1233.51,29.56,"0","1"
"0",98620.98,7962.42,3,3,6,3,16,9,1.33,3,"2",1233.51,29.66,"0","1"
"0",98620.98,7962.42,3,3,6,3,12,9,1.33,3,"2",1233.51,35.65,"0","1"
"0",98620.98,7962.42,3,3,6,3,12,9,1.33,3,"2",1233.51,26.52,"0","1"
"1",46951.02,3725.58,7,4,16,0,9,9,19.83,9,"1",340.22,36.46,"1","1"
"1",46951.02,3725.58,7,4,16,0,8,9,15.83,9,"1",340.22,37.42,"1","2"
"1",46951.02,3725.58,7,4,16,0,8,9,15.83,9,"1",340.22,38.45,"1","2"
"1",46951.02,3725.58,7,4,16,0,8,9,15.83,9,"1",340.22,38.68,"1","2"
"2",61194.81,5014.57,7,7,23,8,24,22,28.63,8,"0",2773.09,32.44,"1","0"
"2",61194.81,5014.57,7,7,23,8,24,22,28.63,8,"0",2773.09,27.79,"1","0"
"2",61194.81,5014.57,7,7,23,8,24,22,28.63,8,"0",2773.09,36.45,"1","0"
"2",61194.81,5014.57,7,7,23,8,24,20,28.63,8,"0",2773.09,24.99,"1","0"
"2",61194.81,5014.57,7,7,23,8,24,22,28.63,8,"0",2773.09,26.8,"1","0"
"2",61194.81,5014.57,7,7,23,8,24,22,28.63,8,"0",2773.09,25.12,"1","0"
"2",61194.81,5014.57,7,7,23,8,19,22,28.63,8,"0",2773.09,27.27,"1","0"
"0",89064.52,7256.04,5,3,1,1,6,5,6.37,3,"2",648.36,31.81,"0","2"
"0",89064.52,7256.04,5,3,1,1,6,5,6.37,3,"2",648.36,30.57,"0","2"
"1",50807.44,4197.95,8,4,11,4,14,10,2.6,4,"1",869.59,38.26,"1","1"
"1",50807.44,4197.95,8,4,11,4,12,10,2.6,4,"1",869.59,33.88,"1","1"
"1",50807.44,4197.95,8,4,11,4,12,8,6.6,4,"1",869.59,30.06,"1","1"
"1",50807.44,4197.95,8,4,11,4,8,10,2.6,4,"1",869.59,39.89,"1","1"
"1",50807.44,4197.95,8,4,11,4,12,10,2.6,4,"1",869.59,31.43,"1","1"
"1",50807.44,4197.95,8,4,11,4,12,10,2.6,4,"1",869.59,31.83,"1","1"
"1",50807.44,4197.95,8,4,11,4,15,10,2.6,4,"1",869.59,38.53,"1","1"
"1",50807.44,4197.95,8,4,11,4,12,9,2.6,4,"1",869.59,30.31,"1","0"
"2",60410.94,5274.24,4,7,17,4,23,9,7.65,9,"1",1852.86,30.54,"1","1"
"2",60410.94,5274.24,4,7,17,4,23,9,7.65,9,"1",1852.86,28.6,"1","1"
"2",60410.94,5274.24,4,7,17,4,23,9,7.65,9,"1",1852.86,40.58,"1","1"
"2",60410.94,5274.24,4,7,17,4,18,9,7.65,9,"1",1852.86,33.72,"1","1"
"2",15989.08,1086.42,5,4,2,4,13,16,0.5,2,"2",665.82,36.38,"0","2"
